#L	H	K	Y	I	error	LB	dL
3.099997551475413	1.0	1.0	0.0	0.042744734792752634	6.0045781611538355e-05	1.0	2.0
3.150001670759498	1.0	1.0	0.0	0.01652756699618075	3.764114631750847e-05	1.0	2.0
3.19999896528674	1.0	1.0	0.0	0.007308380149671564	2.5226578219516794e-05	1.0	2.0
3.250002205102334	1.0	1.0	0.0	0.005538170145538135	2.2135555685057997e-05	1.0	2.0
3.299998696667393	1.0	1.0	0.0	0.0031593368882592175	1.680877358043835e-05	1.0	2.0
3.350002738941614	1.0	1.0	0.0	0.002473462506617473	1.5001832072099409e-05	1.0	2.0
3.400002045221735	1.0	1.0	0.0	0.0018817840502296382	1.3184808374595332e-05	1.0	2.0
3.450002622571592	1.0	1.0	0.0	0.0015529878063356521	1.2066368473249597e-05	1.0	2.0
3.500003506055208	1.0	1.0	0.0	0.0007763343078106724	8.59623983672311e-06	1.0	2.0
3.549997534178329	1.0	1.0	0.0	0.0005682246569497549	7.4104882428341554e-06	1.0	2.0
0.3000009367975529	2.0	0.0	0.0	0.01336070448546315	1.0192661108169592e-05	0.0	2.0
0.3640007421031158	2.0	0.0	0.0	0.007165770002263593	8.251143440862769e-06	0.0	2.0
0.4279996090923019	2.0	0.0	0.0	0.004019784713592637	6.710287335538613e-06	0.0	2.0
0.4919992187969116	2.0	0.0	0.0	0.002620680860984317	5.822005925692121e-06	0.0	2.0
0.5560006752451351	2.0	0.0	0.0	0.0019260344202569179	5.309405232736156e-06	0.0	2.0
0.620000442462989	2.0	0.0	0.0	0.001512813930925038	4.9711382066445375e-06	0.0	2.0
0.6839979744265043	2.0	0.0	0.0	0.0012590728259440685	4.771222727353748e-06	0.0	2.0
0.7479999556995411	2.0	0.0	0.0	0.0011226055696931967	4.709321471967725e-06	0.0	2.0
0.8120015133639805	2.0	0.0	0.0	0.0010277861366404194	4.699692684318029e-06	0.0	2.0
0.8760037517719234	2.0	0.0	0.0	0.0009931732060852302	4.804966353982126e-06	0.0	2.0
0.940000612290062	2.0	0.0	0.0	0.0009488455578477332	4.863996805057455e-06	0.0	2.0
1.003999166161951	2.0	0.0	0.0	0.0009389982263314228	5.00222051874764e-06	0.0	2.0
1.067998647352397	2.0	0.0	0.0	0.0009733491039626265	5.250082866777935e-06	0.0	2.0
1.131999273506682	2.0	0.0	0.0	0.0009439125850203878	5.326614795822858e-06	0.0	2.0
1.19599790568064	2.0	0.0	0.0	0.0009459923584074358	5.462893501533252e-06	0.0	2.0
1.260001323675129	2.0	0.0	0.0	0.0010912927491045984	6.024392506114595e-06	0.0	2.0
1.324001684285005	2.0	0.0	0.0	0.00121649831304932	6.52624854820751e-06	0.0	2.0
1.387999000530831	2.0	0.0	0.0	0.0013403648301389996	7.0109143954659874e-06	0.0	2.0
1.452001420404604	2.0	0.0	0.0	0.0016761310900757498	8.0218128240168e-06	0.0	2.0
1.515999447575713	2.0	0.0	0.0	0.002340470268461562	9.67257362484266e-06	0.0	2.0
1.580004274190558	2.0	0.0	0.0	0.003202545815595973	1.155605627931411e-05	0.0	2.0
1.64400160308523	2.0	0.0	0.0	0.004750790986533281	1.4362039453331599e-05	0.0	2.0
1.708000308315909	2.0	0.0	0.0	0.007010680172047625	1.7783829436215354e-05	0.0	2.0
1.77199977825768	2.0	0.0	0.0	0.011672109941182687	2.337321772448757e-05	0.0	2.0
1.836003198030365	2.0	0.0	0.0	0.023323162100225153	3.36394539818209e-05	0.0	2.0
