# rodscan: ['L', 'H', 'K', 0, 'F', 'Ferr', 'BL', 'dL']
# Escan: ['E', 'H', 'K', 'L', 'F', 'Ferr', 'BL', 'dL']
1.77100000  0.00  2.00  0.00 0.55836940 0.00923338 1.72180000 2.00000000
1.81100000  0.00  2.00  0.00 0.31766959 0.00563952 1.72180000 2.00000000
1.85100000  0.00  2.00  0.00 0.22105882 0.00420470 1.72180000 2.00000000
1.89100000  0.00  2.00  0.00 0.17541010 0.00352701 1.72180000 2.00000000
1.93100000  0.00  2.00  0.00 0.14426270 0.00308738 1.72180000 2.00000000
1.97100000  0.00  2.00  0.00 0.12706731 0.00275712 1.72180000 2.00000000
2.01100000  0.00  2.00  0.00 0.11364259 0.00244616 1.72180000 2.00000000
2.05100000  0.00  2.00  0.00 0.10387350 0.00223204 1.72180000 2.00000000
2.17100000  0.00  2.00  0.00 0.08994242 0.00181023 1.72180000 2.00000000
2.29100000  0.00  2.00  0.00 0.08316049 0.00174432 1.72180000 2.00000000
2.41100000  0.00  2.00  0.00 0.07909841 0.00161188 1.72180000 2.00000000
2.53100000  0.00  2.00  0.00 0.07667803 0.00150351 1.72180000 2.00000000
2.65100000  0.00  2.00  0.00 0.07755015 0.00154627 1.72180000 2.00000000
2.77100000  0.00  2.00  0.00 0.08504488 0.00175373 1.72180000 2.00000000
2.89100000  0.00  2.00  0.00 0.09500806 0.00196741 1.72180000 2.00000000
3.01100000  0.00  2.00  0.00 0.10759469 0.00240962 1.72180000 2.00000000
3.13100000  0.00  2.00  0.00 0.12517556 0.00286768 1.72180000 2.00000000
3.25100000  0.00  2.00  0.00 0.15871246 0.00347204 1.72180000 2.00000000
3.37100000  0.00  2.00  0.00 0.20737511 0.00438181 1.72180000 2.00000000
3.45100000  0.00  2.00  0.00 0.25868758 0.00524986 1.72180000 2.00000000
3.49100000  0.00  2.00  0.00 0.30012892 0.00587306 1.72180000 2.00000000
3.53100000  0.00  2.00  0.00 0.35543617 0.00670302 1.72180000 2.00000000
3.57100000  0.00  2.00  0.00 0.43814977 0.00797290 1.72180000 2.00000000
3.61100000  0.00  2.00  0.00 0.59045604 0.01026454 1.72180000 2.00000000
3.65100000  0.00  2.00  0.00 0.91157953 0.01512025 1.72180000 2.00000000
3.69100000  0.00  2.00  0.00 2.17785013 0.03427562 1.72180000 2.00000000
